Cueanexo,id_localidad,Total de hogares,Hogares con población de 3 a 17,Poblacion de 3 a 17
20058401,2104001,"0,112232","0,092034","0,103589"
20058500,2113001,"0,078317","0,03716","0,036958"
20058800,2113001,"0,093669","0,055037","0,057771"
20058801,2113001,"0,078097","0,040235","0,039422"
20058900,2104001,"0,115186","0,087287","0,091673"
20059200,2113001,"0,099052","0,0365","0,036168"
20059300,2115001,"0,097425","0,049921","0,05366"
20059400,2112001,"0,096954","0,054127","0,054199"
20059401,2112001,"0,096954","0,054127","0,054199"
20059500,2104001,"0,147597","0,137968","0,155235"
20059600,2104001,"0,180655","0,196963","0,225237"
20059800,2115001,"0,092395","0,04915","0,046742"
20059900,2112001,"0,09128","0,047868","0,048818"
20060000,2104001,"0,105054","0,074961","0,079154"
20060100,2104001,"0,105054","0,074961","0,079154"
20060200,2102001,"0,095599","0,048018","0,043377"
20060300,2103001,"0,112284","0,090955","0,097351"
20060500,2103001,"0,112284","0,090955","0,097351"
20060600,2104001,"0,108573","0,090512","0,096383"
20060700,2101001,"0,096869","0,071058","0,074695"
20061100,2107001,"0,110343","0,074228","0,074118"
20061200,2107001,"0,110343","0,074228","0,074118"
20061300,2107001,"0,110343","0,074228","0,074118"
20061400,2112001,"0,096954","0,054127","0,054199"
20061500,2115001,"0,097425","0,049921","0,05366"
20061700,2101001,"0,154478","0,152963","0,177299"
20061703,2104001,"0,134666","0,137623","0,153309"
20061704,2104001,"0,106068","0,081356","0,085294"
20061800,2111001,"0,080901","0,039647","0,036959"
20061900,2112001,"0,08876","0,052982","0,057673"
20062000,2104001,"0,136157","0,136512","0,14931"
20062100,2104001,"0,136157","0,136512","0,14931"
20062200,2113001,"0,085724","0,042194","0,040408"
20062300,2104001,"0,107638","0,075766","0,078709"
20062400,2113001,"0,08175","0,02828","0,026861"
20062800,2101001,"0,115447","0,105978","0,12239"
20062900,2101001,"0,115447","0,105978","0,12239"
20063000,2101001,"0,115447","0,105978","0,12239"
20063100,2101001,"0,146887","0,139066","0,147219"
20063200,2101001,"0,146887","0,139066","0,147219"
20063300,2101001,"0,146887","0,139066","0,147219"
20063500,2103001,"0,119792","0,104102","0,112487"
20063700,2108001,"0,201273","0,209821","0,224022"
20063800,2108001,"0,122571","0,099681","0,116445"
20063900,2108001,"0,25034","0,26223","0,281581"
20064100,2108001,"0,12548","0,09771","0,102268"
20064200,2102001,"0,089945","0,055163","0,055751"
20064300,2103001,"0,106069","0,090453","0,094996"
20064400,2103001,"0,106069","0,090453","0,094996"
20064500,2102001,"0,102537","0,068424","0,066724"
20064600,2114001,"0,092934","0,0625","0,060721"
20064700,2114001,"0,092934","0,0625","0,060721"
20064800,2102001,"0,089945","0,055163","0,055751"
20064900,2108001,"0,123435","0,096823","0,105903"
20065000,2101001,"0,111307","0,117336","0,132102"
20065200,2103001,"0,11386","0,10039","0,109551"
20065300,2115001,"0,087377","0,04798","0,050113"
20065400,2104001,"0,136157","0,136512","0,14931"
20065500,2105001,"0,092358","0,052995","0,056908"
20065600,2105001,"0,092358","0,052995","0,056908"
20065800,2105001,"0,092358","0,052995","0,056908"
20065900,2103001,"0,115581","0,097062","0,107408"
20066000,2105001,"0,095321","0,061372","0,063398"
20066100,2105001,"0,10202","0,078787","0,085403"
20066200,2110001,"0,101672","0,061849","0,065703"
20066300,2109001,"0,113","0,082828","0,089978"
20066400,2110001,"0,103486","0,067328","0,070219"
20066600,2108001,"0,201273","0,209821","0,224022"
20066700,2108001,"0,149063","0,13621","0,152992"
20066800,2108001,"0,122571","0,099681","0,116445"
20066900,2108001,"0,201273","0,209821","0,224022"
20067000,2102001,"0,098898","0,063552","0,05886"
20067200,2108001,"0,122571","0,099681","0,116445"
20067201,2108001,"0,122571","0,099681","0,116445"
20067300,2102001,"0,098898","0,063552","0,05886"
20067400,2112001,"0,08039","0,039214","0,036352"
20067500,2102001,"0,098898","0,063552","0,05886"
20067600,2104001,"0,147396","0,140063","0,157503"
20067700,2110001,"0,105516","0,068362","0,072573"
20067800,2110001,"0,106284","0,062944","0,065681"
20068000,2110001,"0,106284","0,062944","0,065681"
20068100,2110001,"0,101123","0,063532","0,066138"
20068300,2110001,"0,101166","0,055193","0,057762"
20068400,2110001,"0,105516","0,068362","0,072573"
20068500,2105001,"0,088829","0,064081","0,067765"
20068600,2115001,"0,087321","0,058233","0,057752"
20068700,2115001,"0,084389","0,055068","0,053189"
20068900,2115001,"0,08806","0,049844","0,04922"
20069000,2103001,"0,107257","0,087534","0,092851"
20069100,2103001,"0,107257","0,087534","0,092851"
20069200,2103001,"0,112284","0,090955","0,097351"
20069400,2110001,"0,101672","0,061849","0,065703"
20069500,2110001,"0,101672","0,061849","0,065703"
20069502,2110001,"0,09375","0,058921","0,063867"
20069504,2110001,"0,101672","0,061849","0,065703"
20069600,2102001,"0,098072","0,066508","0,060353"
20069900,2102001,"0,092614","0,051091","0,043485"
20070000,2102001,"0,095599","0,048018","0,043377"
20070100,2108001,"0,195353","0,200572","0,220516"
20070200,2104001,"0,155682","0,148737","0,15797"
20070300,2108001,"0,195353","0,200572","0,220516"
20070400,2101001,"0,106876","0,110941","0,117579"
20070500,2108001,"0,135619","0,120998","0,133624"
20070600,2112001,"0,077847","0,045223","0,046471"
20070601,2112001,"0,077847","0,045223","0,046471"
20070602,2112001,"0,078461","0,041499","0,041109"
20070603,2112001,"0,078461","0,041499","0,041109"
20070700,2112001,"0,077847","0,045223","0,046471"
20070800,2114001,"0,092934","0,0625","0,060721"
20070900,2114001,"0,092934","0,0625","0,060721"
20071000,2114001,"0,092934","0,0625","0,060721"
20071100,2108001,"0,195353","0,200572","0,220516"
20071300,2102001,"0,088982","0,051201","0,046727"
